CourseCode,CourseName,Credit,Link,Note
EECS 464 (ROB 464),Hands-on Robotics,['4'],https://atlas.ai.umich.edu/course/EECS%20464/,Prerequisite: EECS 216 or EECS 281 or ME 360 or CEE 212 or IOE 333 or Graduate Standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits) 
EECS 465 (ROB 422),Introduction to Algorithmic Robotics,[],https://atlas.ai.umich.edu/course/EECS%20465/,Prerequisite: EECS 280 and MATH 215 and (junior standing or senior standing) or graduate standing). Minimum grade requirement of “C” for enforced prerequisites. Advisory Prerequisite: EECS 281 and (MATH 214 or MATH 217 or MATH 417 or MATH 419 or ROB 101) or permission of instructor.
EECS 467,Autonomous Robotics Design Experience,['4'],https://atlas.ai.umich.edu/course/EECS%20467/,"Prerequisite: EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101) and (EECS 367 or EECS 373); (No OP/F). Minimum grade requirement of “C” for enforced prerequisites. (4 credits)"
EECS 470,Computer Architecture,['4'],https://atlas.ai.umich.edu/course/EECS%20470/,Prerequisite: EECS 370 and EECS 270 or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)
EECS 471,Applied Parallel Programming with GPUs,[],https://atlas.ai.umich.edu/course/EECS%20471/,"Prerequisite: EECS 281 and EECS 370; (C or better, No OP/F) or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors."
EECS 473,Advanced Embedded Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20473/,Prerequisite: EECS 373 and EECS 215 or EECS 281 or graduate standing. (4 credits)
EECS 475,Introduction to Cryptography,[],https://atlas.ai.umich.edu/course/EECS%20475/,"Prerequisite: EECS 376; (C or better, No OP/F) or Graduate Standing in CSE"
EECS 476,Data Mining,[],https://atlas.ai.umich.edu/course/EECS%20476/,"Prerequisite: [EECS 281 and (MATH 214 or MATH 217 or MATH 296 or MATH 417 or MATH 419, or ROB 101) (minimum grade of C)] or [EECS 403 (minimum grade of B)] or graduate standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors."
EECS 477,Introduction to Algorithms,[],https://atlas.ai.umich.edu/course/EECS%20477/,"Prerequisite: EECS 281 and EECS 376; (C or better, No OP/F). Enrollment in one minor elective allowed for Computer Science Minors. Minimum grade requirement of “C” for enforced prerequisites. (Credit Exclusions: No credit to a student who has taken EECS 586"
EECS 478,Logic Circuit Synthesis and Optimization,['4'],https://atlas.ai.umich.edu/course/EECS%20478/,"Prerequisite: EECS 203, EECS 270, and senior standing or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)"
EECS 480,Social Computing Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20480/,Prerequisite: EECS 485 or 493. Minimum grade requirement of “C” for enforced prerequisites. (4 credits) 
EECS 481,Software Engineering,[],https://atlas.ai.umich.edu/course/EECS%20481/,"Prerequisite: EECS 281; (C or better, No OP/F) or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors"
EECS 482,Introduction to Operating Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20482/,Prerequisite: EECS 281 and EECS 370 or graduate standing in CSE. Minimum grade requirement of “C” for enforced prerequisites. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits)
EECS 483,Compiler Construction,['4'],https://atlas.ai.umich.edu/course/EECS%20483/,Prerequisite:  EECS 281 and EECS 370 or graduate standing in CSE. Minimum grade requirement of “C” for enforced prerequisites. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits)
EECS 484,Database Management Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20484/,Prerequisite: EECS 281 (minimum grade of “C”) or EECS 403 (minimum grade of “B”) or graduate standing in CSE.  Enrollment in one minor elective allowed for Computer Science Minors. (4 credits)
EECS 485,Web Systems,[],https://atlas.ai.umich.edu/course/EECS%20485/,Prerequisite: EECS 281 or graduate standing in CSE. Minimum grade requirement of “C”  for enforced prerequisites. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits
